date_from,date_to,term,missing_data,trend_index,trend_index_12w_ma,trend_index_52w_ma,trend_index_12w_ma_prior_year,trend_index_12w_ma_yoy_pct
2023-06-18,2023-06-24,Trade School,False,9.0,10.083333333333334,9.634615384615383,9.333333333333334,8.03571428571428
2023-06-25,2023-07-01,AI Porn,False,18.0,16.0,7.403846153846154,2.0,700.0
2023-06-25,2023-07-01,Best Colleges,False,46.0,48.333333333333336,39.34615384615385,44.16666666666666,9.433962264150964
2023-06-25,2023-07-01,Trade School,False,10.0,10.166666666666666,9.692307692307692,9.083333333333334,11.926605504587153
2023-07-02,2023-07-08,AI Porn,False,18.0,16.416666666666668,7.711538461538462,2.0,720.8333333333334
2023-07-02,2023-07-08,Best Colleges,False,42.0,48.5,39.21153846153846,44.91666666666666,7.977736549165115
2023-07-02,2023-07-08,Trade School,False,8.0,10.0,9.711538461538462,8.833333333333334,13.207547169811315
2023-07-09,2023-07-15,AI Porn,False,18.0,16.666666666666668,8.01923076923077,2.0,733.3333333333334
2023-07-09,2023-07-15,Best Colleges,False,37.0,48.5,38.98076923076923,45.5,6.593406593406592
2023-07-09,2023-07-15,Trade School,False,10.0,10.0,9.75,8.666666666666666,15.384615384615396
2023-07-16,2023-07-22,AI Porn,False,22.0,17.333333333333332,8.403846153846153,2.0,766.6666666666666
2023-07-16,2023-07-22,Best Colleges,False,41.0,48.41666666666666,38.73076923076923,46.333333333333336,4.496402877697836
2023-07-16,2023-07-22,Trade School,False,9.0,9.833333333333334,9.76923076923077,8.5,15.686274509803932
